AntClassLoader5Test,Name,FALSE,2,0,1,12,0.18,3825.72,2,0,7,2,0,136.75,7,18,0,1,116.13,0,0.5,0,0,2,1,552.99,4,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,2,121,0,12,0.05,1.42,48,0.41,9135.07,19,7,5,12,6,126.01,48,67,0,1,125.77,0,0,0.19,2,68,4,1228.57,0,7,6,java.lang.Object,0,0,0,17,0,0,5,1,10,287,0
AntClassLoaderDelegationTest,Tokenizer,FALSE,5,0.17,1,34,0.53,11441.59,8,3,12,6,0,136.13,17,51,0,1,115.52,0,0.5,0.47,1,2,1,1585.82,3,1,0,junit.framework.TestCase,0,1,1,5,0,1,4,0,11,306,0,2,0,1,3,0.04,308.28,2,0,2,2,5,121.55,12,4,5,1,153.77,0,0,0,0,2,1,109.55,0,2,0,,0,0,0,2,0,0,0,0,6,32,0
AntClassLoaderTest,Jdk14RegexpMatcher,FALSE,7,0,1.86,70,0.85,24693.98,9,2,3,7,0,57.51,58,91,0,1,105.62,0,0.5,0.5,0,0,6,2536.53,7,0,0,BuildFileTest,0,0,1,13,0,0,7,0,11,503,0,9,0.88,1.89,47,0.46,14290.43,10,1,5,9,5,77.28,63,67,2,1,119.58,1,0,0.22,4,36,4,1380.23,0,7,3,java.lang.Object,0,0,0,17,1,0,2,1,12,304,0
AsiExtraFieldTest,PlainJUnitResultFormatter,FALSE,5,0,1.6,82,1.49,79244.78,5,0,1,5,0,113.52,15,110,0,1,92.9,0,0.5,0,0,5,3,4460.34,4,0,0,junit.framework.TestCase,0,0,1,8,0,0,5,1,30,775,0,12,0.09,2,90,1.23,52769.33,21,9,11,14,6,92.75,71,132,0,1,110.63,0,0,0.19,3,48,6,3689.31,0,0,6,java.lang.Object,0,2,0,24,0,2,12,1,15,707,0
BaseSelectorTest,Service,FALSE,16,0.03,1.62,98,1.03,32943.64,27,11,5,18,9,97.89,83,127,9,1,115.77,9,0.09,0.12,5,106,3,3100.07,2,8,0,junit.framework.TestCase,0,2,1,26,9,2,8,0,14,660,0,6,0,1.67,35,0.32,6233.99,8,2,11,7,4,103.18,34,51,1,1,121.05,0,0.5,0.5,0,0,4,954.43,1,2,3,org.apache.tools.ant.ProjectComponent,0,1,1,10,0,1,4,0,7,217,0
ChangeLogParserTest,Condition,FALSE,2,0,1,28,0.42,7983.55,3,1,5,3,0,149.89,3,31,0,1,99.89,0,0.5,1,0,0,1,1266.72,1,0,0,junit.framework.TestCase,0,1,1,2,0,1,2,0,1,235,0,1,0,1,2,0.01,72.32,1,0,1,1,38,127.26,5,3,37,1,145.13,0,0,0,0,1,1,30.53,0,1,1,,0,0,0,1,0,0,0,0,2,11,0
ClasspathUtilsTest,AntTypeDefinition,FALSE,3,0.5,1.67,19,0.19,4837.04,4,1,6,3,0,166.6,4,28,0,1,116.6,0,0.5,0.67,0,1,3,576.52,1,0,0,junit.framework.TestCase,0,0,1,5,0,0,3,0,1,119,0,22,0.02,2.09,113,1.53,54237.08,29,7,2,22,16,85.83,141,199,12,1,118.05,2,0,0.16,10,186,7,4592.65,1,14,4,java.lang.Object,0,0,0,46,2,0,8,0,30,972,0
CollectionUtilsTest,DummyTaskWithoutPublicConstructor,FALSE,3,0,1,63,0.82,67963.85,3,0,5,3,0,137.38,4,67,0,1,87.38,0,0.5,0,0,3,1,2454.11,1,0,0,junit.framework.TestCase,0,0,1,3,0,0,3,0,1,524,0,2,0,1,3,0.01,30.17,2,0,1,2,1,161.72,0,6,0,2,161.72,0,0.67,0,0,2,1,24.36,0,0,1,org.apache.tools.ant.Task,0.05,0,2,2,0,0,2,0,0,12,0
CommandlineJavaTest,Appendable,FALSE,7,0.08,1.86,105,1.32,49058.17,9,2,3,7,0,136.59,20,121,0,1,96.7,0,0.5,0.43,0,4,4,3958.9,5,0,0,junit.framework.TestCase,0,0,1,13,0,0,7,0,10,743,0,1,0,1,2,0.01,72.32,1,0,2,1,5,127.26,5,3,5,1,145.13,0,0,0,0,1,1,30.53,0,1,0,,0,0,0,1,0,0,0,0,2,11,0
CommandlineTest,CBZip2InputStream,FALSE,7,0,1.43,108,1.55,86311.25,7,0,2,7,0,144.83,10,120,0,1,94.83,0,0.5,0,0,7,4,4657.36,3,0,0,junit.framework.TestCase,0,0,1,10,0,0,7,0,7,821,0,27,0.12,4.56,581,7.49,944239.33,60,33,3,28,6,106.16,85,679,4,1,85.55,0,0.5,0.14,23,74,24,22472.74,0,8,2,java.io.InputStream,0,1,1,123,0,1,19,1,32,3926,0
