AntClassLoader5Test,AntClassLoader5,TRUE,2,0,1,12,0.18,3825.72,2,0,7,2,0,136.75,7,18,0,1,116.13,0,0.5,0,0,2,1,552.99,4,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,2,121,0,2,0,1,5,0.04,386.21,2,0,5,2,3,93.29,20,9,0,2,141.77,0,0.67,0,0,2,1,130.53,1,1,3,org.apache.tools.ant.AntClassLoader,0,0,2,2,0,0,1,0,3,37,0
AntClassLoaderDelegationTest,AntClassLoader,TRUE,5,0.17,1,34,0.53,11441.59,8,3,12,6,0,136.13,17,51,0,1,115.52,0,0.5,0.47,1,2,1,1585.82,3,1,0,junit.framework.TestCase,0,1,1,5,0,1,4,0,11,306,0,60,0.01,2.7,450,5.77,262993.45,76,16,31,67,49,62.09,658,675,38,1,110.57,3,0.2,0.05,28,1662,12,17295.48,10,27,12,java.lang.ClassLoader,0,7,1,162,3,7,33,1,127,3384,0
AntClassLoaderTest,AntClassLoader,TRUE,7,0,1.86,70,0.85,24693.98,9,2,3,7,0,57.51,58,91,0,1,105.62,0,0.5,0.5,0,0,6,2536.53,7,0,0,BuildFileTest,0,0,1,13,0,0,7,0,11,503,0,60,0.01,2.7,450,5.77,262993.45,76,16,31,67,49,62.09,658,675,38,1,110.57,3,0.2,0.05,28,1662,12,17295.48,10,27,12,java.lang.ClassLoader,0,7,1,162,3,7,33,1,127,3384,0
AsiExtraFieldTest,AsiExtraField,TRUE,5,0,1.6,82,1.49,79244.78,5,0,1,5,0,113.52,15,110,0,1,92.9,0,0.5,0,0,5,3,4460.34,4,0,0,junit.framework.TestCase,0,0,1,8,0,0,5,1,30,775,0,20,0.01,1.25,89,1.06,43363.52,28,8,2,22,5,74.11,166,128,1,1,122.22,0,0,0.11,10,184,3,3189.23,1,13,4,java.lang.Object,0,2,0,25,0,2,7,1,31,671,0
BaseSelectorTest,BaseSelector,TRUE,16,0.03,1.62,98,1.03,32943.64,27,11,5,18,9,97.89,83,127,9,1,115.77,9,0.09,0.12,5,106,3,3100.07,2,8,0,junit.framework.TestCase,0,2,1,26,9,2,8,0,14,660,0,6,0.6,1.83,19,0.13,1752.72,7,1,3,6,11,91.36,44,31,8,2,133.65,11,0.08,0.5,2,6,4,397.38,3,2,3,org.apache.tools.ant.types.DataType,0,0,2,11,22,0,4,1,7,108,0
ChangeLogParserTest,ChangeLogParser,TRUE,2,0,1,28,0.42,7983.55,3,1,5,3,0,149.89,3,31,0,1,99.89,0,0.5,1,0,0,1,1266.72,1,0,0,junit.framework.TestCase,0,1,1,2,0,1,2,0,1,235,0,12,0.18,2.67,151,1.55,54759.69,30,18,13,14,6,69.48,77,179,3,1,101.7,0,0,0.22,8,10,6,4657.8,1,2,3,java.lang.Object,0,2,0,32,0,2,10,0,31,928,0
ClasspathUtilsTest,classpathUtils,TRUE,3,0.5,1.67,19,0.19,4837.04,4,1,6,3,0,166.6,4,28,0,1,116.6,0,0.5,0.67,0,1,3,576.52,1,0,0,junit.framework.TestCase,0,0,1,5,0,0,3,0,1,119,0,10,1,2.1,50,0.72,27249.22,11,1,7,10,22,117.23,164,84,15,1,117.7,0,0,0.1,4,18,6,2159.71,0,10,7,java.lang.Object,0,0,0,21,0,0,0,0,13,447,0
CollectionUtilsTest,CollectionUtils,TRUE,3,0,1,63,0.82,67963.85,3,0,5,3,0,137.38,4,67,0,1,87.38,0,0.5,0,0,3,1,2454.11,1,0,0,junit.framework.TestCase,0,0,1,3,0,0,3,0,1,524,0,9,1,2.56,62,0.74,23993.82,10,1,9,11,14,66.67,73,79,14,1,114.78,0,0,0,0,9,6,2213.08,0,8,0,java.lang.Object,0,2,0,23,0,2,1,0,14,477,0
CommandlineJavaTest,CommandlineJava,TRUE,7,0.08,1.86,105,1.32,49058.17,9,2,3,7,0,136.59,20,121,0,1,96.7,0,0.5,0.43,0,4,4,3958.9,5,0,0,junit.framework.TestCase,0,0,1,13,0,0,7,0,10,743,0,39,0.02,1.62,159,1.54,41462.17,49,10,9,41,18,92.38,240,234,12,1,124.6,0,0,0.12,10,721,6,4632.73,1,24,7,java.lang.Object,0,2,0,63,0,2,15,1,59,1053,0
CommandlineTest,Commandline,TRUE,7,0,1.43,108,1.55,86311.25,7,0,2,7,0,144.83,10,120,0,1,94.83,0,0.5,0,0,7,4,4657.36,3,0,0,junit.framework.TestCase,0,0,1,10,0,0,7,0,7,821,0,28,0.13,2.14,184,2.05,118218.54,32,4,12,30,84,70.96,202,242,80,1,113.25,0,0,0.12,10,238,12,6158.64,1,20,4,java.lang.Object,0,2,0,60,0,2,8,1,34,1267,0
